n_order,payment_total,days_since_last_order
2,72.96,1652
4,1756.53,1612
2,82.45,1906
2,112.84,1832
2,209.66,1993
2,116.14,2049
2,74.86,1600
2,323.35,2092
2,547.74,1553
2,254.26999999999998,1565
2,196.66,1704
2,390.92999999999995,1551
2,174.68,2037
2,148.85,1656
2,413.76,1548
2,856.77,1706
2,130.14,1817
2,446.32,1962
6,944.21,1757
2,83.44,1655
2,141.56,1649
2,152.89,1666
2,504.95000000000005,1612
2,370.19000000000005,1854
2,154.7,1943
2,120.84,2021
2,370.32,1744
2,196.48000000000002,2007
2,124.02,1937
2,108.03,1934
2,227.39,1817
2,645.53,1678
2,326.42,1646
2,142.8,1658
3,518.02,1768
2,180.82,2228
2,126.81,1674
3,152.41,1933
2,142.46,1904
2,124.71,1656
2,71.24000000000001,1723
2,114.21000000000001,1930
2,104.95,1603
2,580.9,2011
9,1172.66,1722
2,149.34,1987
2,246.57,1984
2,861.81,1874
3,359.94,1622
2,142.98,1866
2,321.98,2067
2,252.76,1552
2,147.36,1617
2,473.55,1899
2,99.58,1626
2,118.25999999999999,1607
2,1131.08,1804
2,282.06,1753
4,518.5,2098
2,204.11,1626
2,87.8,1989
3,2164.4,1770
2,146.0,1565
2,475.64,1571
2,391.23,1903
3,297.96000000000004,1677
2,444.17,1770
2,316.37,1731
3,310.31,1625
3,265.13,1606
2,232.76,1933
3,370.61,1564
2,108.88,2058
2,354.18000000000006,1776
2,178.48000000000002,1806
2,375.64,1652
2,168.49,1955
2,432.59999999999997,1870
2,132.64999999999998,1863
2,99.04,2086
2,338.12,1801
2,1999.6799999999998,1631
2,332.87,1549
2,143.47,1734
2,108.09,1837
2,204.17000000000002,1721
2,171.34,1707
2,2020.86,1580
2,673.8399999999999,1645
2,278.72,1920
2,182.32,1693
2,63.88,1961
2,206.48,1565
2,413.97,1988
2,82.0,2064
2,338.93,1651
2,209.70999999999998,1741
2,754.62,1691
2,319.89,1561
2,1035.97,1623
2,863.84,1769
2,330.27,1729
2,161.48000000000002,1556
2,131.18,1995
2,99.13,1713
2,628.95,1680
2,118.86,1879
2,295.38,1867
2,196.77,1768
2,311.13,1598
2,35.94,1596
3,9553.02,1551
2,141.17000000000002,1713
4,638.77,1716
2,150.06,1573
2,149.26,1682
2,143.94,2078
2,186.19,1724
2,99.34,1557
2,124.02,1705
2,142.04,2108
3,636.9100000000001,1582
2,190.75,1818
2,255.51,1824
2,450.22,1791
2,231.55,1942
2,79.53,1668
2,231.49,1778
2,101.69,1803
3,382.45000000000005,1699
2,997.96,1886
2,129.02,1722
2,47.05,1823
2,157.35,1794
2,66.56,1708
2,92.02,1888
2,127.38,1615
3,269.64,1962
2,182.35000000000002,1627
2,150.91,1891
2,382.02000000000004,1668
3,265.58,1916
2,369.21000000000004,1565
3,532.44,1737
2,145.8,2024
2,177.64,1940
7,959.01,1736
3,225.17000000000002,1709
2,136.98999999999998,1822
2,1782.9,1561
2,305.65999999999997,1742
2,134.47,1769
2,318.56,1740
2,252.19,1811
2,154.34,1646
2,100.07,1779
2,36.74,1853
2,312.02,1970
2,386.29,1582
3,511.29,1660
2,163.07999999999998,1713
2,145.09,1604
2,291.54999999999995,1826
2,258.95,2127
2,661.45,1758
2,133.72,2030
2,448.38,1968
2,354.20000000000005,1744
2,178.62,1608
2,177.91,1984
2,100.56,1630
2,177.85,1680
2,252.87,1809
2,127.34,1811
2,258.67,1859
2,1229.43,1805
2,118.0,1849
2,145.35,1860
2,314.14,1581
2,250.84,1739
2,187.63,1640
3,335.15,1891
2,207.22000000000003,1563
2,118.72,1680
2,500.41999999999996,1818
2,134.66,1816
2,312.18,1864
2,340.26,1734
2,107.2,1907
2,373.35,1850
2,142.49,1660
2,49.54,1658
2,244.77999999999997,1886
2,495.96,1575
2,142.6,1584
2,114.9,1766
3,349.11,1716
2,158.7,1551
2,254.95999999999998,1749
2,99.7,1808
2,175.96,1712
2,205.11,1757
2,114.76,1698
2,172.18,1601
2,144.37,1795
2,542.8,1634
2,836.59,1771
2,102.92000000000002,1689
2,322.49,1947
2,261.25,1721
2,95.1,2004
2,266.56,2007
4,556.9399999999999,1793
2,187.36,1894
3,265.84000000000003,1706
4,769.81,1730
2,139.51999999999998,1594
2,189.07999999999998,1943
2,226.6,1788
2,196.36,1862
2,253.07999999999998,1622
2,256.87,1658
2,113.74000000000001,1898
2,176.16,1931
2,467.0,1810
2,532.48,1547
2,1098.34,1562
2,77.0,1560
3,451.76,1862
2,155.69,1716
2,315.6,1765
2,473.97,1775
2,191.52,1580
2,714.8299999999999,1645
2,97.77,1726
2,4053.08,1946
2,125.75,1864
2,124.88000000000001,1571
2,141.34,1634
2,225.24,1651
3,760.01,2024
2,333.03999999999996,1685
2,101.43,1856
6,1094.63,1546
2,186.56,1546
2,302.94,1713
2,307.7,1840
2,403.99,1876
2,116.56,1629
2,87.5,1703
2,256.57,1893
2,190.24,1817
3,191.32999999999998,1848
2,262.5,1826
2,477.44,1686
2,183.91,1789
3,87.75,2051
3,225.5,1677
3,256.86,2106
2,168.95,1795
2,278.01,1735
2,431.12,1818
2,467.58,1544
2,84.22,2010
2,447.28,1583
2,124.46000000000001,1815
2,65.54,2056
2,424.49,1750
2,115.74000000000001,1883
2,250.93,1721
2,194.57,1702
2,413.78999999999996,1721
3,342.75,1939
2,419.17,1825
2,562.8199999999999,1749
2,559.31,1703
2,229.07999999999998,1568
2,616.41,1591
2,68.81,1685
2,109.0,1743
2,99.32,2047
2,294.46,1721
2,496.87,1732
2,1218.6999999999998,1814
2,120.43,1827
2,159.95,1827
2,579.6,1672
2,98.84,2043
2,222.2,1726
2,267.96000000000004,1639
2,93.55,1950
2,718.49,1756
2,135.19,1984
2,506.23,1640
2,81.56,1818
2,355.96000000000004,1709
2,81.25999999999999,1582
2,182.23000000000002,1546
2,204.0,1811
2,364.63,1600
2,170.87,1550
2,202.81,1671
2,138.91,1585
2,250.57,1900
2,328.4,1653
2,235.59,1622
3,1249.87,1886
2,430.79,1645
2,265.58000000000004,1662
3,378.30999999999995,1578
3,87.6,1777
2,383.45,1988
2,1021.95,1583
2,126.25999999999999,1774
2,299.44000000000005,1707
2,277.45,1630
2,316.5,1556
2,158.98,1941
2,68.93,2024
2,124.78,1733
2,127.66,1598
2,617.97,2013
2,96.63,1770
2,570.3,1607
2,81.37,1859
3,310.86,1991
2,193.04,1664
2,174.43,1811
2,76.96000000000001,1918
2,609.87,1933
2,182.8,1856
4,790.67,1638
5,1114.18,1716
2,254.61,1890
2,209.86999999999998,1733
2,93.78,1847
2,482.52,1647
2,142.04,1768
2,69.15,1602
2,261.14,1810
2,168.06,1736
2,794.6,1880
2,113.88,1738
2,160.06,1660
2,237.82999999999998,1560
6,826.3199999999999,1633
2,244.29,2033
2,558.3399999999999,1845
2,248.92000000000002,1671
2,125.30000000000001,1564
2,227.25,1683
2,491.63,1881
2,255.86,2069
2,490.59,1724
2,180.03,1828
2,460.37,1554
2,77.18,1737
2,137.54,1821
2,325.05,1615
2,197.49,2083
2,224.57,1919
2,270.6,1745
2,133.31,1816
2,257.52,1890
2,476.27,1708
2,331.94000000000005,1955
2,689.02,1658
2,102.3,1816
2,603.16,1986
2,464.01,1814
3,137.16,1602
2,164.69,1617
2,117.14,1814
3,171.04,1666
2,195.22,1681
2,199.74,1563
2,391.16999999999996,1872
2,147.19,2003
2,141.29,1891
2,85.33,1751
2,165.68,1622
2,188.78,1895
3,273.7,1760
2,56.46,1723
2,121.41999999999999,1894
2,113.45,1676
2,113.74000000000001,1852
2,171.42,1560
2,143.34,1993
2,178.95,1836
2,223.67000000000002,1766
